"Path","Parameter","Value","Unit"
"Raltegravir","C_max",1811.956361708,"µg/l"
"Raltegravir","C_max_norm",0.0330682,"kg/l"
"Raltegravir","C_max_t1_t2",1748.6577036827,"µg/l"
"Raltegravir","C_max_t1_t2_norm",0.6382601,"kg/l"
"Raltegravir","C_max_tLast_tEnd",1808.6041295571,"µg/l"
"Raltegravir","C_max_tLast_tEnd_norm",0.6601404,"kg/l"
"Raltegravir","t_max",204.75,"h"
"Raltegravir","t_max_t1_t2",0.75,"h"
"Raltegravir","t_max_tLast_tEnd",228.75,"h"
"Raltegravir","C_trough_t2",39.474233469195,"µg/l"
"Raltegravir","C_trough_tLast",64.0297228388,"µg/l"
"Raltegravir","AUC_t1_t2",3998.1179142605,"µg*h/l"
"Raltegravir","AUC_t1_t2_norm",1.45931283333333,"kg*h/l"
"Raltegravir","AUC_tLast_minus_1_tLast",4480.73772079617,"µg*h/l"
"Raltegravir","AUC_tLast_minus_1_tLast_norm",1.63546916666667,"kg*h/l"
"Raltegravir","AUC_inf_t1",4329.13324768333,"µg*h/l"
"Raltegravir","AUC_inf_t1_norm",1.5801335,"kg*h/l"
"Raltegravir","AUC_inf_tLast",5115.68788040133,"µg*h/l"
"Raltegravir","AUC_inf_tLast_norm",1.86722666666667,"kg*h/l"
"Raltegravir","MRT",3.941166,"h"
"Raltegravir","Thalf",5.812457,"h"
"Raltegravir","Thalf_tLast_tEnd",6.874445,"h"
