"Path","Parameter","Value","Unit"
"Raltegravir","C_max",9613.040104573,"µg/l"
"Raltegravir","C_max_norm",0.8771899,"kg/l"
"Raltegravir","t_max",0.75,"h"
"Raltegravir","C_tEnd",6.643868139295,"µg/l"
"Raltegravir","AUC",22342.31841642,"µg*h/l"
"Raltegravir","AUC_norm",2.03873666666667,"kg*h/l"
"Raltegravir","AUC_inf",22433.77929096,"µg*h/l"
"Raltegravir","AUC_inf_norm",2.04708333333333,"kg*h/l"
"Raltegravir","MRT",4.084571,"h"
"Raltegravir","Thalf",9.542753,"h"
"Raltegravir","CL",8.141666,"ml/min/kg"
"Raltegravir","Vss",1995.313,"ml/kg"
"Raltegravir","Vd",6725.318,"ml/kg"
