"Path","Parameter","Value","Unit"
"Raltegravir","C_max",14682.910145832,"µg/l"
"Raltegravir","C_max_norm",0.8932104,"kg/l"
"Raltegravir","t_max",0.75,"h"
"Raltegravir","C_tEnd",1.9970393072549,"µg/l"
"Raltegravir","AUC",34176.7763593183,"µg*h/l"
"Raltegravir","AUC_norm",2.07908666666667,"kg*h/l"
"Raltegravir","AUC_inf",34204.4857156233,"µg*h/l"
"Raltegravir","AUC_inf_norm",2.08077333333333,"kg*h/l"
"Raltegravir","MRT",4.095405,"h"
"Raltegravir","Thalf",9.617984,"h"
"Raltegravir","CL",8.009846,"ml/min/kg"
"Raltegravir","Vss",1968.213,"ml/kg"
"Raltegravir","Vd",6668.588,"ml/kg"
