"Path","Parameter","Value","Unit"
"Raltegravir","C_max",556.5980845275,"µg/l"
"Raltegravir","C_max_norm",0.8126332,"kg/l"
"Raltegravir","t_max",0.75,"h"
"Raltegravir","C_tEnd",1.5273094992232,"µg/l"
"Raltegravir","AUC",1296.65269908267,"µg*h/l"
"Raltegravir","AUC_norm",1.89311333333333,"kg*h/l"
"Raltegravir","AUC_inf",1317.08621986283,"µg*h/l"
"Raltegravir","AUC_inf_norm",1.922945,"kg*h/l"
"Raltegravir","MRT",4.144345,"h"
"Raltegravir","Thalf",9.273224,"h"
"Raltegravir","CL",8.667257,"ml/min/kg"
"Raltegravir","Vss",2155.207,"ml/kg"
"Raltegravir","Vd",6957.261,"ml/kg"
