"Path","Parameter","Value","Unit"
"Raltegravir","C_max",19799.537226014,"µg/l"
"Raltegravir","C_max_norm",0.9033539,"kg/l"
"Raltegravir","t_max",0.75,"h"
"Raltegravir","C_tEnd",2.6656462983692,"µg/l"
"Raltegravir","AUC",46070.59350602,"µg*h/l"
"Raltegravir","AUC_norm",2.10197166666667,"kg*h/l"
"Raltegravir","AUC_inf",46107.61338381,"µg*h/l"
"Raltegravir","AUC_inf_norm",2.10366,"kg*h/l"
"Raltegravir","MRT",4.12534,"h"
"Raltegravir","Thalf",9.626328,"h"
"Raltegravir","CL",7.922699,"ml/min/kg"
"Raltegravir","Vss",1961.03,"ml/kg"
"Raltegravir","Vd",6601.758,"ml/kg"
