"Path","Parameter","Value","Unit"
"Raltegravir","C_max",1123.8972691427,"µg/l"
"Raltegravir","C_max_norm",0.820445,"kg/l"
"Raltegravir","t_max",0.75,"h"
"Raltegravir","C_tEnd",2.8365190327236,"µg/l"
"Raltegravir","AUC",2615.77286421183,"µg*h/l"
"Raltegravir","AUC_norm",1.909515,"kg*h/l"
"Raltegravir","AUC_inf",2654.06377261983,"µg*h/l"
"Raltegravir","AUC_inf_norm",1.93746666666667,"kg*h/l"
"Raltegravir","MRT",4.138122,"h"
"Raltegravir","Thalf",9.356846,"h"
"Raltegravir","CL",8.6023,"ml/min/kg"
"Raltegravir","Vss",2135.842,"ml/kg"
"Raltegravir","Vd",6967.386,"ml/kg"
